Co-ordinates,REZ-W1,REZ-W2,REZ-W3,REZ-NT1,REZ-NT2,REZ-NT3,REZ-N1,REZ-N2,REZ-N3,REZ-N4,REZ-N5,REZ-N6,REZ-N7,REZ-N8,REZ-N9,REZ-Q1,REZ-Q2,REZ-Q3,REZ-Q4,REZ-Q5,REZ-Q6,REZ-Q7,REZ-Q8,REZ-S1,REZ-S2,REZ-S3,REZ-S4,REZ-S5,REZ-S6,REZ-S7,REZ-S8,REZ-S9,REZ-T1,REZ-T2,REZ-T3,REZ-V1,REZ-V2,REZ-V3,REZ-V4,REZ-V5,REZ-V6
Location,"Geraldton, WA","Ashburton, WA","Port Hedland, WA","Baines, NT","McArthur, NT","Tennant Creek, NT",North West NSW,New England,Central West NSW,Southern NSW Tablelands,"Broken Hill, NSW",South West NSW,"Wagga Wagga, NSW","Tumut, NSW","Cooma Monaro, NSW",Far North QLD,Clean Energy Hub North QLD,Northern QLD,"Isaac, QLD","Barcaldine, QLD","Fitzroy, QLD","Wide Bay, QLD","Darling Downs, QLD","South East, SA","Riverland, SA",Mid North SA,Yorke Peninsula SA,Northern SA,"Leigh Creek, SA",Roxby Downs SA,"Eastern Eyre Peninsula, SA","Western Eyre Peninsula, SA",North East Tasmania,North West Tasmania,Tasmania Midlands,"Ovens Murray, VIC","Murray River, VIC",Western VIC,"Moyne, VIC","Gippsland, VIC",Central North VIC
1/01/2019 0:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/01/2019 1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/01/2019 2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/01/2019 3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/01/2019 4:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/01/2019 5:30,0,0,0,0,0.058324,0.03807,0.153555456,0.041040306,0.182447162,0.280823831,0,0.043652596,0.183923364,0.238348465,0.266368037,0,0,0,0,0,0.055430753,0.197431442,0.158566229,0,0,0,0,0,0,0,0,0,0.306333234,0.173342384,0.202845578,0.148957938,0.007976943,0.037795604,0.03860623,0.193611653,0.096377879
1/01/2019 6:30,0.080454,0,0.00642,0.017934,0.341671,0.354426,0.49270127,0.338304213,0.559985695,0.574734227,0.293051499,0.467778015,0.565166333,0.576082686,0.618675896,0.288750738,0.409690161,0.407063942,0.136169456,0.445050944,0.530027463,0.570500307,0.544194637,0.415581007,0.377501194,0.399471844,0.374009871,0.356609123,0.302134194,0.303125179,0.342291155,0.166809307,0.638698181,0.377760753,0.456864615,0.417040079,0.373013198,0.483095726,0.48502671,0.446109525,0.391422748
1/01/2019 7:30,0.506487,0.035665,0.134653,0.100964,0.522589,0.556326,0.503079155,0.572288399,0.599052114,0.856341626,0.717098031,0.806112528,0.823421823,0.724312506,0.715688335,0.35646754,0.765897837,0.774595291,0.796880851,0.825272275,0.878041154,0.863325967,0.908051455,0.686169375,0.78033021,0.665626608,0.638622231,0.732304039,0.655308064,0.698820905,0.709266084,0.635453837,0.899792844,0.418609843,0.726423594,0.636269868,0.802582097,0.804265398,0.778736047,0.828668471,0.670159701
1/01/2019 8:30,0.707174,0.109085,0.304922,0.20511,0.689466,0.683025,0.952850679,0.890313785,0.707320882,0.940035067,0.904593552,0.91084501,0.830580933,0.826106779,0.912104784,0.761025658,0.883762483,0.753025451,0.94142453,0.980799182,0.959805038,0.879839212,0.977338783,0.948514987,0.938115157,0.865398819,0.691030834,0.950938737,0.829404223,0.930532051,0.940704683,0.931377677,1,0.466475073,0.853514818,0.435832202,0.932943301,0.915692895,0.897443501,0.881747898,0.451352298
1/01/2019 9:30,0.796451,0.726536,0.639361,0.269502,0.739294,0.763086,0.828144264,0.97312266,0.781080608,0.975497353,0.955595881,0.928559157,0.823890564,0.869037078,0.874731328,0.522239506,0.99380082,0.546461486,0.968108193,1,1,0.931289999,0.942101957,0.993292468,1,0.933933498,0.667779304,1,0.898854708,1,1,1,1,0.442199666,0.818518203,0.664178811,0.94168082,0.919024918,0.888230346,0.805270677,0.718227882
1/01/2019 10:30,0.838587,0.779641,0.748787,0.416974,0.759794,0.778725,0.89035395,0.952857926,0.777546352,0.976185692,0.902387705,0.786048082,0.582924085,0.762120897,0.757814734,0.457472859,0.976864334,0.478051765,0.991937533,0.976822055,0.973676361,0.833287783,0.939087458,1,1,0.834413355,0.846777389,1,0.741030753,0.993499332,0.989842618,0.98960475,1,0.552009723,0.802016551,0.54123039,0.874706112,0.957264384,0.970115983,0.750766253,0.449695422
1/01/2019 11:30,0.857689,0.801565,0.79288,0.498608,0.76362,0.781905,0.928234046,0.90982354,0.699644284,0.875883929,0.804201225,0.729516759,0.786519524,0.808272103,0.972534683,0.718821849,0.9052985,0.56591648,0.900447612,0.944930047,0.953455114,0.894382365,0.876083263,0.987784546,0.956953182,1,0.946004482,0.997926996,0.797198647,0.9370375,0.977031587,0.973728354,1,0.602526576,0.768137036,0.539636781,0.898817261,0.972901099,0.974910651,0.671963295,0.345770549
1/01/2019 12:30,0.863838,0.808796,0.808793,0.519958,0.745133,0.778735,0.919349156,0.927411019,0.697908689,0.885980644,0.857915236,0.732159922,0.572946841,0.703443958,0.95601273,0.560153828,0.862510338,0.623552656,0.682178458,0.909645063,0.945004336,0.875627287,0.83299764,0.982520433,0.924414308,0.963767871,0.937078571,0.967460757,0.720355009,0.902484393,0.962718048,0.961487433,1,0.736072884,0.829065758,0.413033609,0.834131497,0.979326471,0.953961554,0.572395606,0.322829316
1/01/2019 13:30,0.862487,0.789481,0.807025,0.509189,0.717264,0.767876,0.877507284,0.799465395,0.591544783,0.792385977,0.842338819,0.814311127,0.70298582,0.783276036,0.937069612,0.722495726,0.856134896,0.874447356,0.910789208,0.871822144,0.972467238,0.917262143,0.738773488,0.988064493,0.855273516,0.966813555,0.902297159,0.966537401,0.763833021,0.895310133,0.915551664,0.912264537,1,0.711089131,0.795202953,0.41756787,0.804730364,0.944426627,0.916434989,0.424345605,0.465075106
1/01/2019 14:30,0.855423,0.769647,0.794379,0.459693,0.650871,0.7487,0.873295963,0.583428662,0.661683254,0.489339668,0.809658411,0.72401424,0.71528714,0.747882839,0.975325788,0.712320678,0.878446528,0.905282394,0.86816845,0.861778613,0.951020661,0.937010069,0.760019191,0.987919637,0.880944651,0.96179835,0.880939266,0.942369025,0.762821148,0.851015386,0.910571171,0.907059211,0.979656547,0.531739578,0.786441577,0.365393149,0.814785119,0.942608387,0.903434559,0.416606067,0.414395641
1/01/2019 15:30,0.840513,0.756939,0.767505,0.383036,0.572117,0.714135,0.82394608,0.333603515,0.563306544,0.553084423,0.770130448,0.78615643,0.774794002,0.769083981,0.912257491,0.637267497,0.849451423,0.921229154,0.936960694,0.817595351,0.904356287,0.900086732,0.780180986,0.984437676,0.854973538,0.962928368,0.859082181,0.960591089,0.727595154,0.833130244,0.88914689,0.886927555,0.959676793,0.563917598,0.76362921,0.235187948,0.81690978,0.888294318,0.821804508,0.531515828,0.399118678
