Co-ordinates,REZ-W1,REZ-W2,REZ-W3,REZ-NT1,REZ-NT2,REZ-NT3,REZ-N1,REZ-N2,REZ-N3,REZ-N4,REZ-N5,REZ-N6,REZ-N7,REZ-N8,REZ-N9,REZ-Q1,REZ-Q2,REZ-Q3,REZ-Q4,REZ-Q5,REZ-Q6,REZ-Q7,REZ-Q8,REZ-S1,REZ-S2,REZ-S3,REZ-S4,REZ-S5,REZ-S6,REZ-S7,REZ-S8,REZ-S9,REZ-T1,REZ-T2,REZ-T3,REZ-V1,REZ-V2,REZ-V3,REZ-V4,REZ-V5,REZ-V6
Location,"Geraldton, WA","Ashburton, WA","Port Hedland, WA","Baines, NT","McArthur, NT","Tennant Creek, NT",North West NSW,New England,Central West NSW,Southern NSW Tablelands,"Broken Hill, NSW",South West NSW,"Wagga Wagga, NSW","Tumut, NSW","Cooma Monaro, NSW",Far North QLD,Clean Energy Hub North QLD,Northern QLD,"Isaac, QLD","Barcaldine, QLD","Fitzroy, QLD","Wide Bay, QLD","Darling Downs, QLD","South East, SA","Riverland, SA",Mid North SA,Yorke Peninsula SA,Northern SA,"Leigh Creek, SA",Roxby Downs SA,"Eastern Eyre Peninsula, SA","Western Eyre Peninsula, SA",North East Tasmania,North West Tasmania,Tasmania Midlands,"Ovens Murray, VIC","Murray River, VIC",Western VIC,"Moyne, VIC","Gippsland, VIC",Central North VIC
1/01/2019 0:30,0.817296,0.109276,0.181,0.124749,0.317792,0.245214,0.1669535,0.2717625,0.492328,0.282466,0.7447745,0.240927,0.01892,0.5348995,0.8276765,0.7943685,0.883436,0.851922,0.698843,0.855515,0.5631575,0.4874395,0.784546,0.1745775,0.546538,0.606761,0.148248,0.670316,0.899301,0.732998,0.213823,0.277941,0.568589,0.370465,0.728227,0.5167685,0.177493,0.297031,0.045528,0.106406,0.719922
1/01/2019 1:30,0.765054,0.042945,0.3248,0.034857,0.246083,0.249383,0.1401685,0.3382835,0.6142895,0.2610175,0.6199205,0.1676315,0.012936,0.501079,0.8719625,0.7932545,0.8906885,0.8198405,0.7176465,0.82361,0.568063,0.435255,0.799948,0.139714,0.4316775,0.645609,0.0925565,0.5200515,0.8998605,0.647219,0.217642,0.268129,0.5598895,0.408974,0.6890125,0.5315255,0.3912525,0.1960445,0.023743,0.1293095,0.7332585
1/01/2019 2:30,0.718797,0.202208,0.6826,0.020267,0.177119,0.264935,0.1162745,0.378752,0.6188215,0.3238375,0.400639,0.093426,0.0249245,0.5129165,0.883914,0.7966835,0.8935875,0.754815,0.82898,0.7664705,0.481608,0.39671,0.821935,0.09265,0.318844,0.701989,0.078446,0.457632,0.899882,0.576746,0.225273,0.241302,0.652938,0.407809,0.6355205,0.5040335,0.4408425,0.1211415,0.0130995,0.137614,0.6645485
1/01/2019 3:30,0.675244,0.227502,0.4615,0.034826,0.111176,0.370123,0.0683575,0.355931,0.576339,0.3867755,0.3387925,0.0361155,0.029969,0.5215145,0.879017,0.8074585,0.8940555,0.730777,0.8339455,0.7382905,0.418552,0.3922765,0.8097295,0.0549395,0.2404125,0.723144,0.074092,0.3780805,0.899727,0.5094675,0.234865,0.252503,0.757266,0.3936515,0.787604,0.525028,0.364385,0.0840565,0.012559,0.1199045,0.581268
1/01/2019 4:30,0.648133,0.245912,0.1823,0.059936,0.05289,0.438345,0.0496785,0.3133335,0.679827,0.4196355,0.424738,0.024351,0.02656,0.5143015,0.874657,0.8129585,0.8963455,0.734854,0.8137745,0.7631255,0.5819735,0.3883735,0.7461765,0.0268835,0.179988,0.771841,0.07235,0.4223835,0.8981865,0.444278,0.21802,0.251436,0.8013945,0.3637735,0.832186,0.536535,0.3242435,0.0578075,0.010102,0.1072375,0.4456665
1/01/2019 5:30,0.63051,0.226262,0.1083,0.074185,0.029212,0.444121,0.114415,0.286451,0.867854,0.404699,0.4429515,0.064076,0.0523805,0.5132495,0.8803505,0.751634,0.896021,0.74262,0.7056375,0.693734,0.710983,0.36866,0.7201675,0.014006,0.1883145,0.797143,0.0777895,0.4810985,0.8960045,0.380955,0.1947975,0.2358175,0.8516435,0.3827165,0.8041215,0.586203,0.270398,0.0238885,0.006803,0.115099,0.303882
1/01/2019 6:30,0.599873,0.152999,0.0263,0.055323,0.080661,0.589851,0.1919945,0.2452615,0.880475,0.29414,0.389052,0.0906345,0.154939,0.457643,0.871791,0.6679865,0.8952805,0.6545975,0.69341,0.617745,0.6952015,0.2582805,0.6193475,0.010145,0.230451,0.7406305,0.078005,0.3984725,0.885266,0.3412645,0.167939,0.2374175,0.8854165,0.430377,0.845361,0.606718,0.1701905,0.0256405,0.0070055,0.1071425,0.1766115
1/01/2019 7:30,0.584042,0.084542,0,0.039765,0.074455,0.526708,0.1778555,0.146511,0.877235,0.2111525,0.268659,0.068944,0.189308,0.390435,0.692942,0.5412945,0.89343,0.627901,0.774311,0.694423,0.692411,0.156877,0.4044265,0.005241,0.235981,0.558329,0.072674,0.252504,0.773686,0.339838,0.1271535,0.1981845,0.8923375,0.4362475,0.881476,0.470907,0.0606665,0.033282,0.0052795,0.087328,0.0931405
1/01/2019 8:30,0.549224,0.036824,0.0007,0.022222,0.046115,0.22529,0.153362,0.0971085,0.7099395,0.218174,0.123756,0.030916,0.105683,0.39989,0.3999325,0.3697125,0.891626,0.7407055,0.784071,0.796387,0.620587,0.167277,0.2892365,0.01006,0.235506,0.363961,0.0690555,0.111959,0.5699845,0.3237555,0.115663,0.1269305,0.891284,0.3810395,0.896263,0.3635705,0.012773,0.031021,0.0033045,0.0833835,0.0659365
1/01/2019 9:30,0.354375,0.065474,0.0972,0.685096,0.01911,0.00099,0.147075,0.090579,0.427284,0.2866645,0.040209,0.008072,0.0391665,0.4803855,0.1432545,0.2637495,0.8907905,0.7822995,0.7612035,0.8082995,0.517693,0.1784025,0.2358055,0.0271045,0.1977305,0.205265,0.059251,0.0323235,0.3477365,0.2526155,0.121758,0.0648025,0.896354,0.3146115,0.8981715,0.3319165,0.0015965,0.028175,0.002737,0.071688,0.0315875
1/01/2019 10:30,0.311699,0.104124,0.183,0.672879,0.028996,0.008961,0.13197,0.0875265,0.239624,0.267716,0.007146,0.0072,0.009953,0.557634,0.0095375,0.156823,0.88915,0.60198,0.7726945,0.744291,0.421821,0.159627,0.185118,0.0599645,0.1421765,0.084831,0.049853,0.005593,0.133987,0.15674,0.113453,0.0379225,0.8991715,0.4151235,0.899165,0.3584925,0,0.0348405,0.0031645,0.083588,0.00302
1/01/2019 11:30,0.32784,0.166347,0.2602,0.62749,0.048204,0.058408,0.087458,0.11072,0.1449185,0.1714675,0.0030875,0.0156,0.0158915,0.5183725,0.0026815,0.069841,0.8887345,0.378046,0.8232575,0.655164,0.3449175,0.1490045,0.1314725,0.0875995,0.104316,0.022211,0.051653,0.005527,0.020152,0.0831645,0.0942975,0.057565,0.8996875,0.5706,0.8996635,0.40531,0,0.0497255,0.014601,0.1015025,0
